,Location ID,Field,Telescope,SDSS ID,nvisits,Bin ,Signal-to-noise,teff,Effective Temperature Error,logg,Log(g) Error,vscatter,vsini,RA,Dec,SLs,FE/H,FE/H Error,Radius [Solar Radii],"CO Mass [Solar Masses, Joker]","CO Mass [Solar Masses, Rotational Period]",Star Flags (spelled),ASPCAP Flags (spelled),J-Band Magnitude,J-Band Error,H-Band Magnitude,H-Band Error,K-Band Magnitude,K-Band Error,"Period [Joker, Seconds]",Eccentricity [Joker],"K [Joker, km/s]","Period [seconds, Rotational]",Percent Error Mass,Comments,,,,,,,
2966,2164,083+73_MGA,apo25m,2M13430611+3946039,3,1,256.31622,5607.542,26.205261,4.2790475,0.022886831,44.742268,12.589254,205.775494,39.767773,1,-0.17019,-0.17019,1.31,2.5736735,1.473302356,BRIGHT_NEIGHBOR,"VMICRO_WARN,N_M_WARN",10.755,0.021,10.394,0.02,10.312,0.017,186727.272,0.032674275,140.3105432,454855.2078,42.755,,,,,,,,
3107,2364,080+59_MGA,apo25m,2M14530147+4617445,4,1,131.3223,6014.8613,42.087173,4.194851,0.029000355,35.51363,14.354893,223.256149,46.295712,1,-0.10536,-0.10536,1.31,2.550835323,1.337074113,,"VMICRO_WARN,STAR_WARN,COLORTE_WARN",11.512,0.021,11.206,0.031,11.119,0.021,187490.9111,0.287802666,161.8890225,398908.424,47.583,,,,,,,,
2703,4235,279+66,apo25m,2M12102713+0617206,4,1,147.78052,4638.596,17.75628,4.245633,0.033202507,67.49073,38.44147,182.613057,6.289075,1,-0.5741,-0.5741,1.073,2.489592798,1.457048677,SUSPECT_ROTATION,"VMICRO_WARN,N_M_WARN,STAR_WARN,COLORTE_WARN",11.732,0.027,11.227,0.024,11.108,0.024,159480.6564,0.057379276,144.980985,122011.7362,41.474,,,,,,,,
2743,4216,221+84,apo25m,2M12281397+2715328,3,1,353.113,5519.695,21.21717,4.293573,0.018312119,48.81457,12.246163,187.058235,27.259113,1,0.077145,0.077145,1.277,2.475514431,1.529894679,BRIGHT_NEIGHBOR,VMICRO_WARN,10.061,0.024,9.759,0.028,9.625,0.019,166684.3369,0.00705629,138.4010614,455819.3246,38.199,,,,,,,,
1002,6165,279-32-O,lco25m,2M05311226-6825508,4,1,290.1068,5625.7324,19.950125,3.7735791,0.015008227,30.07335,59.813614,82.801098,-68.430786,1,0.32457,0.32457,3.152,2.46804749,1.224109875,SUSPECT_ROTATION,VSINI_WARN,10.93,0.026,10.57,0.024,10.516,0.025,177866.3315,0.042398795,137.4931341,230349.9046,50.402,,,,,,,,
4290,5438,M71,apo25m,2M19572486+1857161,3,1,320.68002,6429.6426,40.161095,4.406208,0.018649718,25.10675,14.341679,299.353612,18.954479,1,0.2242,0.2242,2.439,2.462695962,1.285684908,BRIGHT_NEIGHBOR,"VMICRO_WARN,N_M_WARN",10.623,0.022,10.409,0.028,10.313,0.021,146508.7315,0.027207702,145.2052996,743384.7956,47.794,,,,,,,,
1928,2418,193+29_MGA,apo25m,2M08062039+2753400,4,1,550.01825,6644.6343,68.73788,3.9725056,0.033186052,33.80146,17.402033,121.584971,27.894447,1,-0.36091,-0.36091,2.281,2.408226051,1.367439041,SUSPECT_ROTATION,"N_M_WARN,C_M_BAD",8.616,0.018,8.498,0.02,8.457,0.017,10747896.46,0.089335442,35.03380297,572963.7804,43.218,,,,,,,,
5,4590,100-60,apo25m,2M00031962-0017109,6,1,315.99847,6094.2744,35.599487,4.0134206,0.021947207,25.30714,45.12321,0.83175,-0.286375,1,-0.023902,-0.023902,2.117,2.364020333,1.176712578,SUSPECT_ROTATION,N_M_WARN,10.664,0.023,10.42,0.025,10.379,0.025,184366.729,0.009891242,127.7569336,205079.7326,50.224,,,,,,,,
2763,5297,M68,lco25m,2M12395622-2630087,3,1,113.151924,4977.36,16.157982,3.857086,0.037633795,51.890068,15.617088,189.984274,-26.502426,1,-0.60431,-0.60431,1.969,2.346124559,1.624594065,,"VMICRO_WARN,N_M_WARN,STAR_WARN,COLORTE_WARN",12.482,0.024,12.082,0.025,12.011,0.023,179538.3202,0.001100519,127.2832671,551121.7241,30.754,,,,,,,,
4127,5011,K11_076+13,apo25m,2M19245871+4444081,4,1,177.9679,5990.045,40.55942,3.7060337,0.029126994,58.974373,30.415857,291.244644,44.7356,1,-0.27895,-0.27895,15.551,2.342106903,2.514781557,SUSPECT_ROTATION,VMICRO_WARN,10.753,0.021,10.534,0.017,10.493,0.016,153624.9985,0.206585854,150.1569436,2234910.497,7.373,,,,,,,,
2272,5116,GD1-3,apo25m,2M09124274+2324426,5,1,55.684013,5018.3926,29.376482,4.4194093,0.04444673,15.9255905,12.829211,138.178121,23.411856,1,-0.46685,-0.46685,1.218,2.32570779,1.137516194,,"VMICRO_WARN,N_M_WARN",13.028,0.021,12.602,0.022,12.533,0.024,364637.1094,0.260655254,115.7268046,415001.0658,51.089,,,,,,,,
3387,5298,M4,lco25m,2M16201897-2614026,4,1,134.15211,5895.201,29.62501,4.084033,0.019524131,4.5446353,15.609897,245.079066,-26.234079,1,0.31695,0.31695,2.577,2.324647444,1.044583152,,,11.619,0.022,11.108,0.026,10.925,0.021,173025.5424,0.749651313,254.8509225,721632.7802,55.065,,,,,,,,
3270,2217,076+47_MGA,apo25m,2M15591817+4726029,3,1,117.332375,4952.1074,19.83036,4.494135,0.02780041,23.592089,14.976145,239.825729,47.434166,1,-0.19389,-0.19389,1.13,2.324337081,1.195003481,"PERSIST_LOW,MTPFLUX_LT_75",VMICRO_WARN,10.375,0.022,9.943,0.028,9.861,0.022,145597.5391,0.005632814,135.427781,329822.4998,48.587,,,,,,,,
286,5167,160-60,apo25m,2M02003703-0338560,4,1,245.45863,5464.9746,23.215528,4.102594,0.022117916,52.419544,38.610016,30.154309,-3.648907,1,-0.17514,-0.17514,1.378,2.32392908,1.369748361,SUSPECT_ROTATION,N_M_WARN,10.407,0.023,10.091,0.022,9.995,0.026,131941.6843,0.209409848,156.9205422,156009.5225,41.059,,,,,,,,
4315,4255,060-08,apo25m,2M20113390+2054303,3,1,108.79487,4735.9355,13.570133,3.7789726,0.03680426,19.471851,15.125161,302.891251,20.908438,1,-0.54536,-0.54536,3.411,2.309394763,1.237272974,PERSIST_LOW,"VMICRO_WARN,N_M_WARN",11.637,0.025,11.164,0.03,11.043,0.018,162958.2413,0.019357733,130.4240714,985788.1311,46.424,,,,,,,,
506,2302,194-44_MGA,apo25m,2M03374148-0659308,4,1,347.68997,4926.8315,15.599407,4.471443,0.02123535,27.049774,51.01525,54.422872,-6.991902,1,-0.19672,-0.19672,1.125,2.303754331,1.144135223,"PERSIST_LOW,SUSPECT_ROTATION","VMICRO_WARN,N_M_WARN,VSINI_WARN",8.593,0.02,8.205,0.029,8.121,0.023,181360.0044,0.005564437,124.6434622,96394.97053,50.336,,,,,,,,
1223,5173,ORIONB-B,apo25m,2M05383268-0231156,3,1,56.68837,5852.7935,43.272705,4.196026,0.033756632,25.385162,15.307351,84.636174,-2.521004,1,-0.034064,-0.034064,1.324,2.298913773,1.223014944,PERSIST_LOW,VMICRO_WARN,12.554,0.028,12.191,0.024,12.115,0.028,627092.6331,0.218419164,92.7614845,378085.3207,46.8,,,,,,,,
